Accession	Host	Genus	Anotation	Parvorder
NC_039027.1	Ateles sp.	Ateles	Atelidae	Platyrrhini
NC_039030.1	Callithrix	Callithrix	Callitrichidae	Platyrrhini
NC_039031.1	Sapajus xanthosternos	Sapajus	Cebidae	Platyrrhini
LC487610.1	Macaca fuscata	Macaca	Cercopithecidae	Catarrhini
LC487611.1	Macaca fuscata yakui	Macaca	Cercopithecidae	Catarrhini
LC487615.1	Macaca fuscata	Macaca	Cercopithecidae	Catarrhini
LC487619.1	Macaca mulatta	Macaca	Cercopithecidae	Catarrhini
LC487620.1	Macaca cyclopis	Macaca	Cercopithecidae	Catarrhini
LC487623.1	Macaca fuscata yakui	Macaca	Cercopithecidae	Catarrhini
LC487624.1	Macaca fuscata yakui	Macaca	Cercopithecidae	Catarrhini
LC487626.1	Macaca fuscata yakui	Macaca	Cercopithecidae	Catarrhini
MN178627.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
MN178628.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
MN178629.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
MN178630.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
MN178631.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
MN178632.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
MN178633.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
MN178635.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
MN178636.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
MH368762.1	Brachyteles arachnoides	Brachyteles	Atelidae	Platyrrhini
KR528435.1	Sapajus xanthosternos	Sapajus	Cebidae	Platyrrhini
KR528436.1	Sapajus nigritus robustus	Sapajus	Cebidae	Platyrrhini
KR528438.1	Cacajao melanocephalus	Cacajao	Pitheciidae	Platyrrhini
KR528439.1	Sapajus nigritus robustus	Sapajus	Cebidae	Platyrrhini
KR528442.1	Alouatta guariba	Alouatta	Atelidae	Platyrrhini
KR528443.1	Leontopithecus chrysomelas	Leontopithecus	Callitrichidae	Platyrrhini
KR528444.1	Callithrix geoffroyi	Callithrix	Callitrichidae	Platyrrhini
KR528445.1	Chiropotes sp.	Chiropotes	Pitheciidae	Platyrrhini
KR528447.1	Alouatta belzebul	Alouatta	Atelidae	Platyrrhini
KR902438.1	Ateles chamek	Ateles	Atelidae	Platyrrhini
KR902443.1	Ateles geoffroyi	Ateles	Atelidae	Platyrrhini
KR902444.1	Ateles geoffroyi	Ateles	Atelidae	Platyrrhini
KR902448.1	Ateles geoffroyi	Ateles	Atelidae	Platyrrhini
KR902451.1	Ateles hybridus	Ateles	Atelidae	Platyrrhini
KR902454.1	Alouatta sara	Alouatta	Atelidae	Platyrrhini
KR902456.1	Alouatta seniculus	Alouatta	Atelidae	Platyrrhini
KR902458.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KR902459.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KR902460.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KR902461.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KR902464.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KR902465.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KR902466.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KR902470.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KR902473.1	Callithrix jacchus	Callithrix	Callitrichidae	Platyrrhini
KR902481.1	Pithecia pithecia	Pithecia	Pitheciidae	Platyrrhini
KR902483.1	Pithecia pithecia	Pithecia	Pitheciidae	Platyrrhini
KR902490.1	Callithrix jacchus	Callithrix	Callitrichidae	Platyrrhini
KC283230.1	Macaca fascicularis	Macaca	Cercopithecidae	Catarrhini
KC283231.1	Macaca fascicularis	Macaca	Cercopithecidae	Catarrhini
KC283234.1	Macaca fascicularis	Macaca	Cercopithecidae	Catarrhini
KC283236.1	Macaca fascicularis	Macaca	Cercopithecidae	Catarrhini
KC196056.1	Macaca mulatta	Macaca	Cercopithecidae	Catarrhini
KC196057.1	Macaca mulatta	Macaca	Cercopithecidae	Catarrhini
KC196058.1	Macaca mulatta	Macaca	Cercopithecidae	Catarrhini
KC196059.1	Macaca mulatta	Macaca	Cercopithecidae	Catarrhini
KC331074.1	Alouatta seniculus	Alouatta	Atelidae	Platyrrhini
KC331075.1	Cebus albifrons	Cebus	Cebidae	Platyrrhini
KC331077.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KC331078.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KC331079.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KC331080.1	Sapajus apella	Sapajus	Cebidae	Platyrrhini
KC331081.1	Sapajus xanthosternos	Sapajus	Cebidae	Platyrrhini
KC331082.1	Alouatta guariba	Alouatta	Atelidae	Platyrrhini
JF746869.1	Macaca mulatta	Macaca	Cercopithecidae	Catarrhini
EU527595.1	Pan paniscus	Pan	Hominidae	Catarrhini
DQ354074.1	Macaca tonkeana	Macaca	Cercopithecidae	Catarrhini
DQ354080.1	Macaca tonkeana	Macaca	Cercopithecidae	Catarrhini
AY686195.1	Pan paniscus	Pan	Hominidae	Catarrhini
AY686198.1	Macaca arctoides	Macaca	Cercopithecidae	Catarrhini
AJ627527.1	Pongo pygmaeus pygmaeus	Pongo	Hominidae	Catarrhini
AJ627528.1	Pongo pygmaeus pygmaeus	Pongo	Hominidae	Catarrhini
AJ627531.1	Pongo pygmaeus pygmaeus	Pongo	Hominidae	Catarrhini
AJ627533.1	Pongo pygmaeus pygmaeus	Pongo	Hominidae	Catarrhini
AJ627534.1	Pongo pygmaeus pygmaeus	Pongo	Hominidae	Catarrhini
AJ627536.1	Pongo pygmaeus pygmaeus	Pongo	Hominidae	Catarrhini
AJ627543.1	Pongo abelii	Pongo	Hominidae	Catarrhini
AJ627544.1	Pongo abelii	Pongo	Hominidae	Catarrhini
AJ627547.1	Pongo abelii	Pongo	Hominidae	Catarrhini
AJ627550.1	Pan paniscus	Pan	Hominidae	Catarrhini
AJ627551.1	Pan paniscus	Pan	Hominidae	Catarrhini
AY278785.1	Cercocebus torquatus	Cercocebus	Cercopithecidae	Catarrhini
AY195689.1	Pongo pygmaeus	Pongo	Hominidae	Catarrhini
AJ556783.1	Pongo pygmaeus pygmaeus	Pongo	Hominidae	Catarrhini
AF516486.1	Hylobates pileatus	Hylobates	Hylobatidae	Catarrhini
AF516487.1	Nomascus leucogenys	Nomascus	Hylobatidae	Catarrhini
AF049086.1	Pongo pygmaeus	Pongo	Hominidae	Catarrhini
X83298.1	Ateles sp.	Ateles	Atelidae	Platyrrhini
KR528446.1	Leontopithecus rosalia	Leontopithecus	Callitrichidae	Platyrrhini
PP960560.1	Leontopithecus rosalia	Leontopithecus	This Study	Platyrrhini
NC_039023.1	Otolemur crassicaudatus panganiensis	Outgroup	Outgroup	Outgroup